Title,Original Price,Discounted Price,Release Date,Discount Amount
Steam Deck,"369,00€","313,65€",,-15%
Cyberpunk 2077,"59,99€","29,99€","9 Dec, 2020",-50%
ELDEN RING,"59,99€","41,99€","24 Feb, 2022",-30%
Total War: WARHAMMER III,"59,99€","23,99€","16 Feb, 2022",-60%
Crusader Kings III,"49,99€","14,99€","1 Sep, 2020",-70%
Euro Truck Simulator 2,"19,99€","4,99€","12 Oct, 2012",-75%
Satisfactory,"38,99€","35,09€","10 Sep, 2024",-10%
Cyberpunk 2077: Phantom Liberty,"29,99€","23,99€","25 Sep, 2023",-20%
Noita,"18,99€","7,59€","15 Oct, 2020",-60%
Tom Clancy's Rainbow Six® Siege,"19,99€","7,99€","1 Dec, 2015",-60%
The Crew™ 2,"49,99€","1,00€","28 Jun, 2018",-98%
Sea of Thieves: 2024 Edition,"39,99€","19,99€","3 Jun, 2020",-50%
Grand Theft Auto V,"54,97€","18,70€","13 Apr, 2015",-66%
Dragon's Dogma 2,"64,99€","37,04€","21 Mar, 2024",-43%
Like a Dragon: Infinite Wealth,"69,99€","41,99€","25 Jan, 2024",-40%
Microsoft Flight Simulator 40th Anniversary Edition,"69,99€","34,99€","17 Aug, 2020",-50%
BeamNG.drive,"24,50€","19,60€","29 May, 2015",-20%
Persona 5 Royal,"59,99€","23,99€","20 Oct, 2022",-60%
PAYDAY 3,"39,99€","15,99€","21 Sep, 2023",-60%
Halo: The Master Chief Collection,"39,99€","9,99€","3 Dec, 2019",-75%
Party Animals,"17,99€","8,99€","20 Sep, 2023",-50%
Call of Duty®: Black Ops III,"59,99€","19,79€","5 Nov, 2015",-67%
STAR WARS Jedi: Survivor™,"69,99€","27,99€","27 Apr, 2023",-60%
Grounded,"39,99€","19,99€","27 Sep, 2022",-50%
American Truck Simulator,"19,99€","4,99€","2 Feb, 2016",-75%
Senua’s Saga: Hellblade II,"49,99€","34,99€","21 May, 2024",-30%
Shin Megami Tensei V: Vengeance,"59,99€","41,99€","13 Jun, 2024",-30%
